Subgrupo7_Desc,Subgrupo5_Desc,Subgrupo4_Desc,Subgrupo3_Desc,Grupo_Desc
D07AC02,D07AC - Corticosteroides  potentes (grupo III)    ,"D07A - CORTICOSTEROIDES, MONOFÁRMACOS             ",D07 - PREPARADOS DERMATOLÓGICOS CON CORTICOSTEROID,D - DERMATOLOGICOS                                
D03BA94,D03BA - Enzimas proteolíticas                     ,D03B - ENZIMAS                                    ,D03 - PREPARADOS PARA EL TRATAMIENTO DE HERIDAS Y ,D - DERMATOLOGICOS                                
06D00,06D00 - SONDA GASTRICA                            ,06D0 - SONDA GÁSTRICA                             ,06D - SONDA GÁSTRICA                              ,0 - MATERIAL DE CURA Y SONDAS                     
D06BA51,D06BA - Sulfonamidas                              ,D06B - QUIMIOTERÁPICOS PARA USO TÓPICO            ,D06 - ANTIBIÓTICOS Y QUIMIOTERÁPICOS PARA USO DERM,D - DERMATOLOGICOS                                
B03AE02,B03AE - Hierro en otras combinaciones             ,B03A - PREPARADOS CON HIERRO                      ,B03 - PREPARADOS ANTIANÉMICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
D07XB02,"D07XB - Corticosteroides moderadamente potentes, o","D07X - CORTICOSTEROIDES, OTRAS COMBINACIONES      ",D07 - PREPARADOS DERMATOLÓGICOS CON CORTICOSTEROID,D - DERMATOLOGICOS                                
J01CA12,J01CA - Penicilinas con espectro ampliado         ,"J01C - ANTIBACTERIANOS BETALACTÁMICOS, PENICILINAS",J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
D08AG03,D08AG - Productos con iodo                        ,D08A - ANTISÉPTICOS Y DESINFECTANTES              ,D08 - ANTISÉPTICOS Y DESINFECTANTES               ,D - DERMATOLOGICOS                                
J07AL01,J07AL - Vacunas antineumococo                     ,J07A - VACUNAS ANTIBACTERIANAS                    ,J07 - VACUNAS                                     ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
G03AB03,"G03AB - Progestágenos y estrógenos, preparados sec",G03A - ANTICONCEPTIVOS HORMONALES PARA USO SISTÉMI,G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA ,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
G04CB01,G04CB - Inhibidores de la testosterona 5-alfa redu,G04C - FÁRMACOS USADOS EN LA HIPERTROFIA  PROSTÁTI,G04 - PRODUCTOS DE USO UROLÓGICO                  ,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
N01BA52,N01BA - Ésteres del ácido aminobenzoico           ,N01B - ANESTÉSICOS LOCALES                        ,N01 - ANESTÉSICOS                                 ,N - SISTEMA NERVIOSO                              
R06AB02,R06AB - Alquilaminas sustituidas                  ,R06A - ANTIHISTAMÍNICOS PARA USO SISTÉMICO        ,R06 - ANTIHISTAMÍNICOS PARA USO SISTÉMICO         ,R - SISTEMA RESPIRATORIO                          
M03AC10,M03AC - Otros compuestos de amonio cuaternario    ,M03A - AGENTES RELAJANTES MUSCULARES  DE ACCIÓN PE,M03 - RELAJANTES MUSCULARES                       ,M - SISTEMA MUSCULOESQUELÉTICO                    
C09CA02,"C09CA - Antagonistas de angiotensina II, monofárma","C09C - ANTAGONISTAS DE ANGIOTENSINA II, MONOFÁRMAC",C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-A,C - SISTEMA CARDIOVASCULAR                        
C07BB02,C07BB - Agentes beta-bloqueantes selectivos y tiaz,C07B - AGENTES BETA-BLOQUEANTES Y TIAZIDAS        ,C07 - AGENTES BETA-BLOQUEANTES                    ,C - SISTEMA CARDIOVASCULAR                        
D08A,D08A - ANTISÉPTICOS Y DESINFECTANTES              ,D08A - ANTISÉPTICOS Y DESINFECTANTES              ,D08 - ANTISÉPTICOS Y DESINFECTANTES               ,D - DERMATOLOGICOS                                
D01AC16,D01AC - Derivados imidazólicos y triazólicos      ,D01A - ANTIFÚNGICOS PARA USO TÓPICO               ,D01 - ANTIFÚNGICOS PARA USO DERMATOLÓGICO         ,D - DERMATOLOGICOS                                
M03B2,M03B2 - MIORRELAJANTES DE ACCION CENTRAL CON OTRAS,M03B - AGENTES RELAJANTES MUSCULARES DE ACCIÓN CEN,M03 - RELAJANTES MUSCULARES                       ,M - SISTEMA MUSCULOESQUELÉTICO                    
D08AJ01,D08AJ - Compuestos de amonio cuaternario          ,D08A - ANTISÉPTICOS Y DESINFECTANTES              ,D08 - ANTISÉPTICOS Y DESINFECTANTES               ,D - DERMATOLOGICOS                                
B05XC,B05XC - Vitaminas                                 ,B05X - ADITIVOS PARA SOLUCIONES I.V.              ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
J01MB02,J01MB - Otras quinolonas                          ,J01M - QUINOLONAS ANTIBACTERIANAS                 ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
C07FA05,C07FA - Agentes beta-bloqueantes no selectivos y o,"C07F - AGENTES BETA-BLOQUEANTES, OTRAS COMBINACION",C07 - AGENTES BETA-BLOQUEANTES                    ,C - SISTEMA CARDIOVASCULAR                        
J07AL02,J07AL - Vacunas antineumococo                     ,J07A - VACUNAS ANTIBACTERIANAS                    ,J07 - VACUNAS                                     ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
C10AX02,C10AX - OTROS AGENTES MODIFICADORES DE LOS LIPIDOS,"C10A - AGENTES MODIFICADORES DE LOS LÍPIDOS,MONOFA",C10 - AGENTES MODIFICADORES DE LOS LÍPIDOS        ,C - SISTEMA CARDIOVASCULAR                        
N04BA03,N04BA - Dopa y derivados de la dopa               ,N04B - AGENTES DOPAMINÉRGICOS                     ,N04 - ANTIPARKINSONIANOS                          ,N - SISTEMA NERVIOSO                              
J07B3,J07B3 - OTRAS VACUNAS ASOCIADAS                   ,J07B - VACUNAS ANTIVIRALES                        ,J07 - VACUNAS                                     ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
A09AA52,A09AA - Preparados enzimáticos                    ,"A09A - DIGESTIVOS, INCLUYENDO ENZIMAS             ","A09 - DIGESTIVOS, INCLUYENDO ENZIMAS              ",A - TRACTO ALIMENTARIO Y METABOLISMO              
C03DA01,C03DA - Antagonistas de la aldosterona            ,C03D - AGENTES AHORRADORES DE POTASIO             ,C03 - DIURÉTICOS                                  ,C - SISTEMA CARDIOVASCULAR                        
R03AC16,R03AC - Agonistas selectivos de receptores beta-2 ,"R03A - ADRENÉRGICOS, INHALATORIOS                 ",R03 - AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE,R - SISTEMA RESPIRATORIO                          
A16AA01,A16AA - Aminoácidos y derivados                   ,A16A - OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO ,A16 - OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y,A - TRACTO ALIMENTARIO Y METABOLISMO              
N02CC01,N02CC - Agonistas selectivos de serotonina (5-HT1),N02C - PREPARADOS ANTIMIGRAÑOSOS                  ,N02 - ANALGÉSICOS                                 ,N - SISTEMA NERVIOSO                              
C10AX04,C10AX - OTROS AGENTES MODIFICADORES DE LOS LIPIDOS,"C10A - AGENTES MODIFICADORES DE LOS LÍPIDOS,MONOFA",C10 - AGENTES MODIFICADORES DE LOS LÍPIDOS        ,C - SISTEMA CARDIOVASCULAR                        
B03AA03,"B03AA - Hierro bivalente, preparados orales       ",B03A - PREPARADOS CON HIERRO                      ,B03 - PREPARADOS ANTIANÉMICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
C05CX92,C05CX - Otros agentes estabilizadores de capilares,C05C - AGENTES ESTABILIZADORES DE CAPILARES       ,C05 - VASOPROTECTORES                             ,C - SISTEMA CARDIOVASCULAR                        
D06BB01,D06BB - Antivirales                               ,D06B - QUIMIOTERÁPICOS PARA USO TÓPICO            ,D06 - ANTIBIÓTICOS Y QUIMIOTERÁPICOS PARA USO DERM,D - DERMATOLOGICOS                                
L01XX27,L01XX - Otros agentes antineoplásicos             ,L01X - OTROS AGENTES ANTINEOPLÁSICOS              ,L01 - AGENTES ANTINEOPLÁSICOS                     ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
L01DB07,L01DB - Antraciclinas y sustancias relacionadas   ,L01D - ANTIBIÓTICOS CITOTÓXICOS Y SUSTANCIAS RELAC,L01 - AGENTES ANTINEOPLÁSICOS                     ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
L04AA10,L04AA - Agentes inmunosupresores selectivos       ,L04A - AGENTES INMUNOSUPRESORES                   ,L04 - AGENTES INMUNOSUPRESORES                    ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
B03AA01,"B03AA - Hierro bivalente, preparados orales       ",B03A - PREPARADOS CON HIERRO                      ,B03 - PREPARADOS ANTIANÉMICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
J07AE01,J07AE - Vacunas contra el cólera                  ,J07A - VACUNAS ANTIBACTERIANAS                    ,J07 - VACUNAS                                     ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
R05D1,R05D1 - ANTITUSIGENOS SOLOS                       ,"R05D - SUPRESORES DE LA TOS,  EXCLUYENDO COMBINACI",R05 - PREPARADOS PARA LA TOS Y EL RESFRIADO       ,R - SISTEMA RESPIRATORIO                          
J01XD03,J01XD - Derivados imidazólicos                    ,J01X - OTROS ANTIBACTERIANOS                      ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
C07AB02,C07AB - Agentes beta- bloqueantes selectivos      ,C07A - AGENTES BETA-BLOQUEANTES                   ,C07 - AGENTES BETA-BLOQUEANTES                    ,C - SISTEMA CARDIOVASCULAR                        
J01AA20,J01AA - Tetraciclinas                             ,J01A - TETRACICLINAS                              ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
M03AC02,M03AC - Otros compuestos de amonio cuaternario    ,M03A - AGENTES RELAJANTES MUSCULARES  DE ACCIÓN PE,M03 - RELAJANTES MUSCULARES                       ,M - SISTEMA MUSCULOESQUELÉTICO                    
C04AE02,C04AE - Alcaloides del ergot                      ,C04A - VASODILATADORES PERIFÉRICOS                ,C04 - VASODILATADORES PERIFÉRICOS                 ,C - SISTEMA CARDIOVASCULAR                        
N05BA09,N05BA - Derivados de la benzodiazepina            ,N05B - ANSIOLÍTICOS                               ,N05 - PSICOLÉPTICOS                               ,N - SISTEMA NERVIOSO                              
D07CC02,D07CC - Corticosteroides potentes en combinación c,D07C - CORTICOSTEROIDES EN COMBINACIÓN CON ANTIBIÓ,D07 - PREPARADOS DERMATOLÓGICOS CON CORTICOSTEROID,D - DERMATOLOGICOS                                
A02AG,A02AG - Antiácidos con antiespasmódicos           ,A02A - ANTIÁCIDOS                                 ,A02 - AGENTES PARA EL TRATAMIENTO DE ALTERACIONES ,A - TRACTO ALIMENTARIO Y METABOLISMO              
A07AA01,A07AA - Antibióticos                              ,A07A - ANTIINFECCIOSOS INTESTINALES               ,"A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/AN",A - TRACTO ALIMENTARIO Y METABOLISMO              
C01EA01,C01EA - Prostaglandinas                           ,C01E - OTROS PREPARADOS  PARA EL CORAZÓN          ,C01 - TERAPIA CARDÍACA                            ,C - SISTEMA CARDIOVASCULAR                        
N06B,"N06B - PSICOESTIMULANTES, AGENTES UTILIZADOS PARA ","N06B - PSICOESTIMULANTES, AGENTES UTILIZADOS PARA ",N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
A10BB01,A10BB - Derivados de las sulfonilureas            ,A10B - FÁRMACOS HIPOGLUCEMIANTES ORALES           ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
P02CB01,P02CB - Piperazina y derivados                    ,P02C - ANTINEMATODOS                              ,P02 - ANTIHELMÍNTICOS                             ,"P - PRODUCTOS ANTIPARASITARIOS, INSECTICIDAS Y REP"
D04AX92,D04AX - Otros antipruriginosos                    ,"D04A - ANTIPRURIGINOSOS, INCLUYENDO ANTIHISTAMÍNÍC","D04 - ANTIPRURIGINOSOS, INCLUYENDO ANTIHISTAMÍNICO",D - DERMATOLOGICOS                                
A10AB04,A10AB - Insulinas y análogos de acción rápida     ,A10A - INSULINAS Y ANÁLOGOS                       ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
N06AF04,N06AF - Inhibidores no selectivos de la monoaminoo,N06A - ANTIDEPRESIVOS                             ,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
A07AA06,A07AA - Antibióticos                              ,A07A - ANTIINFECCIOSOS INTESTINALES               ,"A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/AN",A - TRACTO ALIMENTARIO Y METABOLISMO              
S01GX05,S01GX - Otros antialérgicos                       ,S01G - DESCONGESTIVOS Y ANTIALÉRGICOS             ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
J01MA13,J01MA - Fluoroquinolonas                          ,J01M - QUINOLONAS ANTIBACTERIANAS                 ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
L04AX03,L04AX - Otros agentes inmunosupresores            ,L04A - AGENTES INMUNOSUPRESORES                   ,L04 - AGENTES INMUNOSUPRESORES                    ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
J01DE02,J01DE - Cefalosporinas de cuarta generación       ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
V03AB,V03AB - Antídotos                                 ,V03A - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03 - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS ,V - VARIOS                                        
C05C,C05C - AGENTES ESTABILIZADORES DE CAPILARES       ,C05C - AGENTES ESTABILIZADORES DE CAPILARES       ,C05 - VASOPROTECTORES                             ,C - SISTEMA CARDIOVASCULAR                        
M03BX01,M03BX - Otros agentes de acción central           ,M03B - AGENTES RELAJANTES MUSCULARES DE ACCIÓN CEN,M03 - RELAJANTES MUSCULARES                       ,M - SISTEMA MUSCULOESQUELÉTICO                    
J01XC01,J01XC - Esteroides antibacterianos                ,J01X - OTROS ANTIBACTERIANOS                      ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
D07XB01,"D07XB - Corticosteroides moderadamente potentes, o","D07X - CORTICOSTEROIDES, OTRAS COMBINACIONES      ",D07 - PREPARADOS DERMATOLÓGICOS CON CORTICOSTEROID,D - DERMATOLOGICOS                                
S01BA02,"S01BA - Corticosteroides, monofármacos            ",S01B - AGENTES ANTIINFLAMATORIOS                  ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
B01AC01,"B01AC - Inhibidores de la agregación plaquetaria, ",B01A - AGENTES ANTITROMBÓTICOS                    ,B01 - AGENTES ANTITROMBÓTICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
M09AX,M09AX - Otros fármacos para desórdenes del sistema,M09A - OTROS FÁRMACOS PARA DESÓRDENES DEL SISTEMA ,M09 - OTROS FÁRMACOS PARA DESÓRDENES DEL SISTEMA M,M - SISTEMA MUSCULOESQUELÉTICO                    
C02LA51,C02LA - Alcaloides de la rauwolfia y diuréticos en,C02L - ANTIHIPERTENSIVOS Y DIURÉTICOS EN COMBINACI,C02 - ANTIHIPERTENSIVOS                           ,C - SISTEMA CARDIOVASCULAR                        
C02AB01,C02AB - Metildopa                                 ,C02A - AGENTES ANTIADRENÉRGICOS DE ACCIÓN CENTRAL ,C02 - ANTIHIPERTENSIVOS                           ,C - SISTEMA CARDIOVASCULAR                        
A01AB09,A01AB - Antiinfecciosos y antisépticos para el tra,A01A - PREPARADOS ESTOMATOLÓGICOS                 ,A01 - PREPARADOS ESTOMATOLÓGICOS                  ,A - TRACTO ALIMENTARIO Y METABOLISMO              
C08CA11,C08CA - Derivados de la  dihidropiridina          ,C08C - BLOQUEANTES SELECTIVOS DE CANALES DE CALCIO,C08 - BLOQUEANTES DE CANALES DE CALCIO            ,C - SISTEMA CARDIOVASCULAR                        
M05BC01,M05BC - Proteínas morfogenéticas óseas            ,M05B - AGENTES QUE AFECTAN LA ESTRUCTURA ÓSEA Y LA,M05 - FÁRMACOS PARA EL TRATAMIENTO DE ENFERMEDADES,M - SISTEMA MUSCULOESQUELÉTICO                    
N06DA04,N06DA - Anticolinesterasas                        ,N06D - FÁRMACOS ANTI-DEMENCIA                     ,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
A02A7,A02A7 - ANTIFLATULENTOS CON OTRAS SUSTANCIAS      ,A02A - ANTIÁCIDOS                                 ,A02 - AGENTES PARA EL TRATAMIENTO DE ALTERACIONES ,A - TRACTO ALIMENTARIO Y METABOLISMO              
S01CA05,S01CA - Corticosteroides y antiinfecciosos en comb,S01C - AGENTES ANTIINFLAMATORIOS Y ANTIINFECCIOSOS,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
G03DC03,G03DC - Derivados del estreno                     ,G03D - PROGESTÁGENOS                              ,G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA ,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
D03AX94,D03AX - Otros cicatrizantes                       ,D03A - CICATRIZANTES                              ,D03 - PREPARADOS PARA EL TRATAMIENTO DE HERIDAS Y ,D - DERMATOLOGICOS                                
D06AX,D06AX - Otros antibióticos para uso tópico        ,D06A - ANTIBIÓTICOS PARA USO TÓPICO               ,D06 - ANTIBIÓTICOS Y QUIMIOTERÁPICOS PARA USO DERM,D - DERMATOLOGICOS                                
B03BA,B03BA - Vitamina B12 (cianocobalamina y análogos) ,B03B - VITAMINA B12 Y ÁCIDO FÓLICO                ,B03 - PREPARADOS ANTIANÉMICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
S01AA04,S01AA - Antibióticos                              ,S01A - ANTIINFECCIOSOS                            ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
C10AX91,C10AX - OTROS AGENTES MODIFICADORES DE LOS LIPIDOS,"C10A - AGENTES MODIFICADORES DE LOS LÍPIDOS,MONOFA",C10 - AGENTES MODIFICADORES DE LOS LÍPIDOS        ,C - SISTEMA CARDIOVASCULAR                        
A10BB07,A10BB - Derivados de las sulfonilureas            ,A10B - FÁRMACOS HIPOGLUCEMIANTES ORALES           ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
M03AX01,M03AX - Otros agentes relajantes musculares de acc,M03A - AGENTES RELAJANTES MUSCULARES  DE ACCIÓN PE,M03 - RELAJANTES MUSCULARES                       ,M - SISTEMA MUSCULOESQUELÉTICO                    
26A01,26A01 - CINTURON OSTOMIA                          ,26A0 - CINTURÓN OSTOMIA                           ,26A - CINTURÓN OSTOMIA                            ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
D08AJ02,D08AJ - Compuestos de amonio cuaternario          ,D08A - ANTISÉPTICOS Y DESINFECTANTES              ,D08 - ANTISÉPTICOS Y DESINFECTANTES               ,D - DERMATOLOGICOS                                
N04AA04,N04AA - Aminas terciarias                         ,N04A - AGENTES ANTICOLINÉRGICOS                   ,N04 - ANTIPARKINSONIANOS                          ,N - SISTEMA NERVIOSO                              
A10BB03,A10BB - Derivados de las sulfonilureas            ,A10B - FÁRMACOS HIPOGLUCEMIANTES ORALES           ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
S01FB51,"S01FB - Simpaticomiméticos, excluyendo preparados ",S01F - MIDRIÁTICOS Y CICLOPLÉJICOS                ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
V03AC01,V03AC - Agentes quelantes del hierro              ,V03A - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03 - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS ,V - VARIOS                                        
J06AA02,J06AA - Sueros inmunes                            ,J06A - SUEROS INMUNES                             ,J06 - SUEROS INMUNES E INMUNOGLOBULINAS           ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
23C05,23C05 - ABSORB INC ORINA SUP-NOC RECTANGULAR      ,23C0 - ABSORBENTES INCONTINENCIA ORINA            ,23C - ABSORBENTES INCONTINENCIA ORINA             ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
R01BA51,R01BA - Simpaticomiméticos                        ,R01B - DESCONGESTIVOS NASALES PARA USO SISTÉMICO  ,R01 - PREPARADOS DE USO NASAL                     ,R - SISTEMA RESPIRATORIO                          
B01AC17,"B01AC - Inhibidores de la agregación plaquetaria, ",B01A - AGENTES ANTITROMBÓTICOS                    ,B01 - AGENTES ANTITROMBÓTICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
A04AD01,A04AD - Otros antieméticos                        ,A04A - ANTIEMÉTICOS Y ANTINAUSEOSOS               ,A04 - ANTIEMÉTICOS Y ANTINAUSEOSOS                ,A - TRACTO ALIMENTARIO Y METABOLISMO              
S01CC01,S01CC - Agentes antiinflamatorios no esteroideos y,S01C - AGENTES ANTIINFLAMATORIOS Y ANTIINFECCIOSOS,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
A11DA03,A11DA - Vitamina B1 sola                          ,"A11D - VITAMINA B1, SOLA  Y EN COMBINACIÓN CON VIT",A11 - VITAMINAS                                   ,A - TRACTO ALIMENTARIO Y METABOLISMO              
V03AE01,V03AE - Fármacos para el tratamiento de la hiperpo,V03A - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03 - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS ,V - VARIOS                                        
M05BA07,M05BA - Bifosfonatos                              ,M05B - AGENTES QUE AFECTAN LA ESTRUCTURA ÓSEA Y LA,M05 - FÁRMACOS PARA EL TRATAMIENTO DE ENFERMEDADES,M - SISTEMA MUSCULOESQUELÉTICO                    
D06BA01,D06BA - Sulfonamidas                              ,D06B - QUIMIOTERÁPICOS PARA USO TÓPICO            ,D06 - ANTIBIÓTICOS Y QUIMIOTERÁPICOS PARA USO DERM,D - DERMATOLOGICOS                                
C01CA16,C01CA - Agentes adrenérgicos y dopaminérgicos     ,C01C - ESTIMULANTES CARDÍACOS EXCLUYENDO GLUCÓSIDO,C01 - TERAPIA CARDÍACA                            ,C - SISTEMA CARDIOVASCULAR                        
V08AC,V08AC - Medios de contraste para rayos-X  hidrosol,"V08A - MEDIOS DE CONTRASTE PARA RAYOS-X, IODADOS  ",V08 - MEDIOS DE CONTRASTE                         ,V - VARIOS                                        
D10AD03,D10AD - Retinoides para uso tópico en acné        ,D10A - PREPARADOS ANTI-ACNÉ PARA USO TÓPICO       ,D10 - PREPARADOS ANTI-ACNÉ                        ,D - DERMATOLOGICOS                                
C04AX11,C04AX - Otros vasodilatadores periféricos         ,C04A - VASODILATADORES PERIFÉRICOS                ,C04 - VASODILATADORES PERIFÉRICOS                 ,C - SISTEMA CARDIOVASCULAR                        
S01CB91,"S01CB - Corticoesteriodes, antiinfecciosos y midri",S01C - AGENTES ANTIINFLAMATORIOS Y ANTIINFECCIOSOS,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
D07XC91,"D07XC - Corticosteroides  potentes, otras combinac","D07X - CORTICOSTEROIDES, OTRAS COMBINACIONES      ",D07 - PREPARADOS DERMATOLÓGICOS CON CORTICOSTEROID,D - DERMATOLOGICOS                                
N06AA02,N06AA - Inhibidores no selectivos de la recaptació,N06A - ANTIDEPRESIVOS                             ,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
R06AX25,R06AX - Otros antihistamínicos para uso sistémico ,R06A - ANTIHISTAMÍNICOS PARA USO SISTÉMICO        ,R06 - ANTIHISTAMÍNICOS PARA USO SISTÉMICO         ,R - SISTEMA RESPIRATORIO                          
D05BA02,D05BA - Psoralenos para uso sistémico             ,D05B - ANTIPSORIÁSICOS PARA USO SISTÉMICO         ,D05 - ANTIPSORIÁSICOS                             ,D - DERMATOLOGICOS                                
S01P2,S01P2 - OTROS OFTALMOLOGICOS TOPICOS              ,S01P - OTROS OFTALMOLOGICOS TOPICOS Y SISTEMICOS  ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
H01BA03,H01BA - Vasopresina  y análogos                   ,H01B - HORMONAS DEL LÓBULO POSTERIOR DE LA HIPÓFIS,H01 - HORMONAS HIPOFISARIAS E HIPOTALÁMICAS Y SUS ,"H - PREPARADOS HORMONALES SISTÉMICOS, EXCLUYENDO H"
N05CF03,N05CF - Fármacos relacionados con las benzodiazepi,N05C - HIPNÓTICOS Y SEDANTES                      ,N05 - PSICOLÉPTICOS                               ,N - SISTEMA NERVIOSO                              
A04AD97,A04AD - Otros antieméticos                        ,A04A - ANTIEMÉTICOS Y ANTINAUSEOSOS               ,A04 - ANTIEMÉTICOS Y ANTINAUSEOSOS                ,A - TRACTO ALIMENTARIO Y METABOLISMO              
C06A,C06A - OTROS PRODUCTOS CARDIOVASCULARES           ,C06A - OTROS PRODUCTOS CARDIOVASCULARES           ,C06 - OTROS PRODUCTOS CARDIOVASCULARES            ,C - SISTEMA CARDIOVASCULAR                        
V08AC06,V08AC - Medios de contraste para rayos-X  hidrosol,"V08A - MEDIOS DE CONTRASTE PARA RAYOS-X, IODADOS  ",V08 - MEDIOS DE CONTRASTE                         ,V - VARIOS                                        
B01AC13,"B01AC - Inhibidores de la agregación plaquetaria, ",B01A - AGENTES ANTITROMBÓTICOS                    ,B01 - AGENTES ANTITROMBÓTICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
S01EA03,S01EA - Simpaticomiméticos en la terapia del glauc,S01E - PREPARADOS CONTRA EL GLAUCOMA Y MIÓTICOS1) ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
J02AC03,J02AC - Derivados triazólicos                     ,J02A - ANTIMICÓTICOS PARA USO SISTÉMICO           ,J02 - ANTIMICÓTICOS PARA USO SISTÉMICO            ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
N02BB04,N02BB - Pirazolonas                               ,N02B - OTROS ANALGÉSICOS Y ANTIPIRÉTICOS          ,N02 - ANALGÉSICOS                                 ,N - SISTEMA NERVIOSO                              
C10AX06,C10AX - OTROS AGENTES MODIFICADORES DE LOS LIPIDOS,"C10A - AGENTES MODIFICADORES DE LOS LÍPIDOS,MONOFA",C10 - AGENTES MODIFICADORES DE LOS LÍPIDOS        ,C - SISTEMA CARDIOVASCULAR                        
C03CA02,"C03CA - Sulfonamidas, monofármacos                ",C03C - DIURÉTICOS DE TECHO ALTO                   ,C03 - DIURÉTICOS                                  ,C - SISTEMA CARDIOVASCULAR                        
D07XC93,"D07XC - Corticosteroides  potentes, otras combinac","D07X - CORTICOSTEROIDES, OTRAS COMBINACIONES      ",D07 - PREPARADOS DERMATOLÓGICOS CON CORTICOSTEROID,D - DERMATOLOGICOS                                
