CIE10,literal_CIE10,BDCAP,literal_BDCAP,Cambio mapeo julio 18
W19.68,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W19.69,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W19.7,Granja,A80,Traumatismo/lesión no especificada,
W19.70,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W19.71,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W19.72,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W19.73,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W19.74,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W19.78,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W19.79,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W19.8,Otro lugar especificado,A80,Traumatismo/lesión no especificada,
W19.80,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W19.81,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W19.82,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W19.83,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W19.84,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W19.88,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W19.89,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W19.9,Lugar no especificado,A80,Traumatismo/lesión no especificada,
W19.90,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W19.91,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W19.92,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W19.93,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W19.94,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W19.98,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W19.99,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W20,"Golpe por objeto arrojado, proyectado o que cae",A80,Traumatismo/lesión no especificada,
W20.0,Vivienda,A80,Traumatismo/lesión no especificada,
W20.00,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W20.01,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W20.02,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W20.03,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W20.04,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W20.08,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W20.09,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W20.1,Institución residencial,A80,Traumatismo/lesión no especificada,
W20.10,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W20.11,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W20.12,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W20.13,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W20.14,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W20.18,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W20.19,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W20.2,"Escuelas, otras instituciones y áreas administrativas públicas",A80,Traumatismo/lesión no especificada,
W20.20,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W20.21,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W20.22,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W20.23,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W20.24,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W20.28,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W20.29,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W20.3,Áreas de deporte y atletismo,A80,Traumatismo/lesión no especificada,
W20.30,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W20.31,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W20.32,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W20.33,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W20.34,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W20.38,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W20.39,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W20.4,Calles y carreteras,A80,Traumatismo/lesión no especificada,
W20.40,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W20.41,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W20.42,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W20.43,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W20.44,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W20.48,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W20.49,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W20.5,Comercio y área de servicios,A80,Traumatismo/lesión no especificada,
W20.50,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W20.51,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W20.52,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W20.53,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W20.54,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W20.58,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W20.59,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W20.6,Área industrial y de la construcción,A80,Traumatismo/lesión no especificada,
W20.60,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W20.61,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W20.62,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W20.63,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W20.64,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W20.68,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W20.69,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W20.7,Granja,A80,Traumatismo/lesión no especificada,
W20.70,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W20.71,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W20.72,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W20.73,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W20.74,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W20.78,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W20.79,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W20.8,Otro lugar especificado,A80,Traumatismo/lesión no especificada,
W20.80,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W20.81,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W20.82,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W20.83,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W20.84,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W20.88,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W20.89,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W20.9,Lugar no especificado,A80,Traumatismo/lesión no especificada,
W20.90,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W20.91,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W20.92,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W20.93,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W20.94,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W20.98,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W20.99,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W21,Golpe contra o golpeado por equipo para deportes,A80,Traumatismo/lesión no especificada,
W21.0,Vivienda,A80,Traumatismo/lesión no especificada,
W21.00,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W21.01,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W21.02,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W21.03,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W21.04,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W21.08,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W21.09,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W21.1,Institución residencial,A80,Traumatismo/lesión no especificada,
W21.10,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W21.11,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W21.12,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W21.13,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W21.14,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W21.18,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W21.19,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W21.2,"Escuelas, otras instituciones y áreas administrativas públicas",A80,Traumatismo/lesión no especificada,
W21.20,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W21.21,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W21.22,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W21.23,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W21.24,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W21.28,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W21.29,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W21.3,Áreas de deporte y atletismo,A80,Traumatismo/lesión no especificada,
W21.30,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W21.31,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W21.32,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W21.33,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W21.34,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W21.38,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W21.39,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W21.4,Calles y carreteras,A80,Traumatismo/lesión no especificada,
W21.40,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W21.41,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W21.42,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W21.43,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W21.44,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W21.48,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W21.49,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W21.5,Comercio y área de servicios,A80,Traumatismo/lesión no especificada,
W21.50,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W21.51,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W21.52,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W21.53,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W21.54,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W21.58,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W21.59,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W21.6,Área industrial y de la construcción,A80,Traumatismo/lesión no especificada,
W21.60,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W21.61,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W21.62,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W21.63,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W21.64,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W21.68,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W21.69,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W21.7,Granja,A80,Traumatismo/lesión no especificada,
W21.70,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W21.71,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W21.72,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W21.73,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W21.74,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W21.78,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W21.79,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W21.8,Otro lugar especificado,A80,Traumatismo/lesión no especificada,
W21.80,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W21.81,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W21.82,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W21.83,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W21.84,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W21.88,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W21.89,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W21.9,Lugar no especificado,A80,Traumatismo/lesión no especificada,
W21.90,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W21.91,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W21.92,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W21.93,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W21.94,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W21.98,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W21.99,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W22,Golpe contra o golpeado por otros objetos,A80,Traumatismo/lesión no especificada,
W22.0,Vivienda,A80,Traumatismo/lesión no especificada,
W22.00,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W22.01,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W22.02,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W22.03,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W22.04,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W22.08,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W22.09,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W22.1,Institución residencial,A80,Traumatismo/lesión no especificada,
W22.10,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W22.11,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W22.12,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W22.13,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W22.14,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W22.18,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W22.19,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W22.2,"Escuelas, otras instituciones y áreas administrativas públicas",A80,Traumatismo/lesión no especificada,
W22.20,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W22.21,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W22.22,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W22.23,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W22.24,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W22.28,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W22.29,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W22.3,Áreas de deporte y atletismo,A80,Traumatismo/lesión no especificada,
W22.30,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W22.31,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W22.32,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W22.33,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W22.34,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W22.38,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W22.39,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W22.4,Calles y carreteras,A80,Traumatismo/lesión no especificada,
W22.40,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W22.41,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W22.42,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W22.43,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W22.44,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W22.48,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W22.49,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W22.5,Comercio y área de servicios,A80,Traumatismo/lesión no especificada,
W22.50,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W22.51,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W22.52,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W22.53,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W22.54,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W22.58,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W22.59,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W22.6,Área industrial y de la construcción,A80,Traumatismo/lesión no especificada,
W22.60,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W22.61,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W22.62,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W22.63,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W22.64,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W22.68,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W22.69,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W22.7,Granja,A80,Traumatismo/lesión no especificada,
W22.70,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W22.71,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W22.72,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W22.73,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W22.74,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W22.78,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W22.79,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W22.8,Otro lugar especificado,A80,Traumatismo/lesión no especificada,
W22.80,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W22.81,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W22.82,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W22.83,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W22.84,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W22.88,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W22.89,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W22.9,Lugar no especificado,A80,Traumatismo/lesión no especificada,
W22.90,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W22.91,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W22.92,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W22.93,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W22.94,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W22.98,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W22.99,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W23,"Atrapado, aplastado, trabado o apretado en o entre objetos",A80,Traumatismo/lesión no especificada,
W23.0,Vivienda,A80,Traumatismo/lesión no especificada,
W23.00,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W23.01,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W23.02,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W23.03,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W23.04,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W23.08,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W23.09,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W23.1,Institución residencial,A80,Traumatismo/lesión no especificada,
W23.10,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W23.11,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W23.12,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W23.13,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W23.14,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W23.18,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W23.19,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W23.2,"Escuelas, otras instituciones y áreas administrativas públicas",A80,Traumatismo/lesión no especificada,
W23.20,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W23.21,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W23.22,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W23.23,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W23.24,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W23.28,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W23.29,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W23.3,Áreas de deporte y atletismo,A80,Traumatismo/lesión no especificada,
W23.30,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W23.31,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W23.32,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W23.33,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W23.34,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W23.38,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W23.39,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W23.4,Calles y carreteras,A80,Traumatismo/lesión no especificada,
W23.40,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W23.41,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W23.42,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W23.43,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W23.44,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W23.48,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W23.49,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W23.5,Comercio y área de servicios,A80,Traumatismo/lesión no especificada,
W23.50,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W23.51,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W23.52,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W23.53,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W23.54,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W23.58,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W23.59,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W23.6,Área industrial y de la construcción,A80,Traumatismo/lesión no especificada,
W23.60,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W23.61,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W23.62,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W23.63,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W23.64,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W23.68,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W23.69,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W23.7,Granja,A80,Traumatismo/lesión no especificada,
W23.70,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W23.71,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
W23.72,Mientras trabaja en forma remunerada,A80,Traumatismo/lesión no especificada,
W23.73,Mientras está ocupado en otros tipos de trabajo,A80,Traumatismo/lesión no especificada,
W23.74,"Mientras descansa, duerme, come o realiza otras actividades vitales",A80,Traumatismo/lesión no especificada,
W23.78,Mientras está ocupado en otras actividades especificadas,A80,Traumatismo/lesión no especificada,
W23.79,Durante una actividad no especificada,A80,Traumatismo/lesión no especificada,
W23.8,Otro lugar especificado,A80,Traumatismo/lesión no especificada,
W23.80,Mientras realiza una actividad deportiva,A80,Traumatismo/lesión no especificada,
W23.81,Mientras realiza una actividad de recreación,A80,Traumatismo/lesión no especificada,
