CIE9,literal_CIE9,BDCAP,literal_BDCAP,https://www.sanidad.gob.es/estadEstudios/estadisticas/estadisticas/estMinisterio/SIAP/map_cie9mc_cie10_ciap2.htm
721.9,ESPONDILOSIS CON LOCALIZACION NO ESPECIFICADA,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
721.90,ESPONDILOSIS CON LOCALIZ. NO ESPECIF. SIN MENCION MIELOPATIA,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
721.91,ESPONDILOSIS CON LOCALIZ. NO ESPECIF. CON MENCION MIELOPATIA,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722,TRASTORNO DEL DISCO INTERVERTEBRAL,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.0,DESPLAZAMIENTO DISCO INTERVERTEBRAL CERVICAL SIN MIELOPATIA,L83,Síndromes del cuello,
722.1,DESPLAZAMIENTO DISCO INTERVERTEBRAL TOR. O LUM.SIN MIELOPAT.,L84,Síndromes lumbares/torácicos sin irradiación del dolor,
722.10,DESPLAZAMIENTO DISCO INTERVERTEBRAL LUMBAR SIN MIELOPATIA,L84,Síndromes lumbares/torácicos sin irradiación del dolor,
722.11,DESPLAZAMIENTO DISCO INTERVERTEBRAL DORSAL SIN MIELOPATIA,L84,Síndromes lumbares/torácicos sin irradiación del dolor,
722.2,DESPLAZAMIENTO DISCO INTERVERTEBRAL NO ESPECIF. SIN MIELOPAT,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.3,NODULOS SCHMORL,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.30,NODULOS SCHMORL NO ESPECIFICADO,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.31,NODULOS SCHMORL TORACICA,L84,Síndromes lumbares/torácicos sin irradiación del dolor,
722.32,NODULOS SCHMORL LUMBAR,L84,Síndromes lumbares/torácicos sin irradiación del dolor,
722.39,OTROS NODULOS SCHMORL OTROS NO CODIFICADOS,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.4,DEGENERACION DISCO INTERVERTEBRAL CERVICAL,L83,Síndromes del cuello,
722.5,DEGENERACION DISCO INTERVERTEBRAL DORSAL/LUMBAR,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.51,DEGENERACION DISCO INTERVERTEBRAL TORACICO O TORACOLUMBAR,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.52,DEGENERACION DISCO INTERVERTEBRAL LUMBAR O LUMBOSACRAL,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.6,DEGENERACION DISCO INTERVERTEBRAL SITIO NO ESPECIFICADO,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.7,TRASTORNO DE DISCO INTERVERTEBRAL CON MIELOPATIA,L83,Síndromes del cuello,
722.70,TRAS. DISCO INTERVERTEBRAL CON MIELOPATIA REGION NO ESPECIFI,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.71,TRAS. DISCO INTERVERTEBRAL CON MIELOPATIA REGION CERVICAL,L83,Síndromes del cuello,
722.72,TRAS. DISCO INTERVERTEBRAL CON MIELOPATIA REGION TORACICA,L86,Síndromes lumbares/torácicos con irradiación del dolor,
722.73,TRAS. DISCO INTERVERTEBRAL CON MIELOPATIA REGION LUMBAR,L86,Síndromes lumbares/torácicos con irradiación del dolor,
722.8,SINDROME POSTLAMINECTOMIA,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.80,SINDROME POSTLAMINECTOMIA REGION NO ESPECIFICADO,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.81,SINDROME POSTLAMINECTOMIA REGION CERVICAL,L83,Síndromes del cuello,
722.82,SINDROME POSTLAMINECTOMIA REGION TORACICA,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.83,SINDROME POSTLAMINECTOMIA REGION LUMBAR,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.9,OTROS TRASTORNOS Y TRASTORNOS DE DISCO NO ESPECIFICADO,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.90,OTROS TRASTRONOS Y TRAST. DE DISCO NO ESPECIF. REG. NO ESPEC,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.91,OTROS TRASTORNOS Y TRAST. DE DISCO NO ESPECIF. REG. CERVICAL,L83,Síndromes del cuello,
722.92,OTROS TRASTORNOS Y TRAST. DE DISCO NO ESPECIF. REG. TORACICA,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
722.93,OTROS TRASTORNOS Y TRAST. DE DISCO NO ESPECIF. REG. LUMBAR,L86/84/83,"Síndromes de columna vertebral no incluidos en L83, L84 o L86",
723,OTRAS ALTERACIONES COLUMNA CERVICAL,L83,Síndromes del cuello,
723.0,ESTENOSIS ESPINAL EN REGION CERVICAL,L83,Síndromes del cuello,
723.1,CERVICALGIA,L01,Signos/síntomas del cuello,
723.2,SINDROME CERVICOCRANEAL,L83,Síndromes del cuello,
723.3,SINDROME CERVICOBRAQUIAL (DIFUSO),L83,Síndromes del cuello,
723.4,NEURITIS O RADICULITIS BRAQUIAL NO ESPECIFICADO,L83,Síndromes del cuello,
723.5,TORTICOLIS SIN ESPECIFICAR,L83,Síndromes del cuello,
723.6,PANICULITIS EN CUELLO,L01,Signos/síntomas del cuello,
723.7,OSIFICACION DE LIGAMENTO LONG. POST. EN REGION CERVICAL,L83,Síndromes del cuello,
723.8,OTROS SINDROME DE LA REGION CERVICAL  OTROS NO CODIFICADOS,L83,Síndromes del cuello,
723.9,ALTERAC. Y SINT. MUSCULOESQUE. NO ESPECIF. CUELLO COMO REF.,L83,Síndromes del cuello,
724,OTRAS ALTERACIONES DE LA ESPALDA NO ESPECIFICADOS,L99,Otras enfermedades del aparato locomotor,
724.0,"ESTENOSIS ESPINAL,SALVO LA CERVICAL",L86,Síndromes lumbares/torácicos con irradiación del dolor,
724.00,ESTENOSIS ESPINAL REGION NO ESPECIFICADO SALVO LA CERVICAL,L86,Síndromes lumbares/torácicos con irradiación del dolor,
724.01,ESTENOSIS ESPINAL REGION TORACICA,L86,Síndromes lumbares/torácicos con irradiación del dolor,
724.02,"ESTENOSIS REGION LUMBAR, SIN CLAUDICACION NEUROGENA",L86,Síndromes lumbares/torácicos con irradiación del dolor,
724.03,"ESTENOSIS REGION LUMBAR, CON CLAUDICACION NEUROGENA",L84,Síndromes lumbares/torácicos sin irradiación del dolor,
724.09,OTRA ESTENOSIS ESPINAL,L86,Síndromes lumbares/torácicos con irradiación del dolor,
724.1,DOLOR REGION TORACICA COLUMNA VERTEBRAL,L02,Signos/síntomas dorsales,
724.2,LUMBAGO,L03,Signos/síntomas lumbares,
724.3,CIATICA,L86,Síndromes lumbares/torácicos con irradiación del dolor,
724.4,NEURITIS O RADICULITIS LUMBOSACRA NO ESPECIFICADO,L86,Síndromes lumbares/torácicos con irradiación del dolor,
724.5,DOLOR DE ESPALDA NO ESPECIFICADO,L02,Signos/síntomas dorsales,
724.6,TRASTORNO SACRO,L99,Otras enfermedades del aparato locomotor,
724.7,TRASTORNO COCCIX,L99,Otras enfermedades del aparato locomotor,
724.70,TRASTORNO COCCIX NO ESPECIFICADO,L99,Otras enfermedades del aparato locomotor,
724.71,HIPERMOVILIDAD COCCIX,L03,Signos/síntomas lumbares,
724.79,OTRO TRASTORNO DE COCCIX  OTROS NO CODIFICADOS,L03,Signos/síntomas lumbares,
724.8,OTROS SINTOMAS CON LA ESPALDA COMO PUNTO DE REFERENCIA,L02,Signos/síntomas dorsales,
724.9,ALTERACIONES DE LA ESPALDA NO ESPECIFICADAS,L99,Otras enfermedades del aparato locomotor,
725,POLIMIALGIA REUMATICA,L99,Otras enfermedades del aparato locomotor,
726,TENDINITIS INTERSECIONES PERIFERICAS Y SINDROMES CONEXOS,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.0,CAPSULITIS ADHESIVA HOMBRO,L92,Síndromes del hombro,
726.1,SINDROME DE LA VAINA DE LOS MUSCULOS ROTADORES DEL BRAZO,L92,Síndromes del hombro,
726.10,TRAST. DE BOLSAS Y TENDONES EN REGION DEL HOMBRO NO ESPECIFI,L92,Síndromes del hombro,
726.11,TENDINITIS CALCIFICACION HOMBRO,L92,Síndromes del hombro,
726.12,TENOSINOVITIS BICIPITAL,L92,Síndromes del hombro,
726.13 ,DESGARRO PARCIAL DEL MANGUITO DE LOS ROTADORES,L92,Síndromes del hombro,
726.19,OTRAS ALTERACIONES ESPECIFICADAS DE MUSCULOS ROTADORES BRAZO,L92,Síndromes del hombro,
726.2,OTRAS ALTERACIONES REGION HOMBRO NCOC,L92,Síndromes del hombro,
726.3,ENTESOPATIA CODO,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.30,ENTESOPATIA CODO SIN ESPECIFICAR,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.31,EPICONDILITIS MEDIAL,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.32,EPICONDILITIS LATERAL,L93,Codo de tenista,
726.33,BURSITIS OLECRANIANA,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.39,OTRA ENTESOPATIA CODO ,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.4,ENTESOPATIA DE MUÑECA Y CARPO,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.5,ENTESOPATIA DE LA REGION DE LA CADERA,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.6,ENTESOPATIA DE RODILLA,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.60,ENTESOPATIA RODILLA NO ESPECIFICADO,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.61,TENDINITIS O BURSITIS DE PIE ANSERINO,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.62,BURSITIS DE LIGAMENTO COLATERAL TIBIAL,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.63,BURSITIS DE LIGAMENTO COLATERAL DEL PERONE,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.64,TENDINITIS ROTULIANA,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.65,BURSITIS PRERROTULIANA,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.69,OTRA ENTESOPATIA RODILLA ,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.7,ENTESOPATIA DE TOBILLO Y TARSO,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.70,ENTESOPATIA DE TOBILLO Y TARSO NO ESPECIFICADO,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.71,TENDINITIS AQUILEA,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.72,TENDINITIS TIBIAL,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.73,ESPOLON CALCANEO,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.79,OTRA ENTESOPATIA TOBILLO ,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.8,OTRAS ENTESOPATIA PERIFERICAS,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.9,ENTESOPATIA NO ESPECIFICADA,L87,Bursitis/tendinitis/sinovitis no especificadas,
726.90,"ENTESOPATIA, LUGAR NO LOCALIZADO",L87,Bursitis/tendinitis/sinovitis no especificadas,
726.91,"EXOSTOSIS, LUGAR NO ESPECIFICADO",L87,Bursitis/tendinitis/sinovitis no especificadas,
727,OTROS TRASTORNOS DE SINOVIA TENDON Y BURSA,L99,Otras enfermedades del aparato locomotor,
727.0,SINOVITIS Y TENOSINOVITIS,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.00,SINOVITIS Y TENOSINOVITIS NO ESPECIFICADO,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.01,SINOVITIS Y TENOSINOVITIS EN ENF. CLASIF. BAJO OTRO CONCEPTO,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.02,TUMOR CELULAS GIGANTES DE VAINAS TENDINOSAS,L97,Neoplasias benignas/inespecíficas del aparato locomotor,
727.03,DEDO EN GATILLO (ADQUIRIDO),L87,Bursitis/tendinitis/sinovitis no especificadas,
727.04,TENOSINOVITIS ESTILOIDE DE RADIO,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.05,OTRA TENOSINOVITIS DE MANO Y MUÑECA  OTROS NO CODIFICADOS,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.06,TENOSINOVITIS PIE Y TOBILLO,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.09,OTRA SINOVITIS  OTROS NO CODIFICADOS,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.1,JUANETE,L98,Deformidades adquiridas de los miembros,
727.2,BURSITIS OCUPACIONAL,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.3,BURSITIS  OTROS NO CODIFICADOS,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.4,"GANGLION Y QUISTE DE SINOVIA, TENDON Y BOLSA",L87,Bursitis/tendinitis/sinovitis no especificadas,
727.40,QUISTE SINOVIAL SIN ESPECIFICAR,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.41,GANGLION ARTICULAR,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.42,GANGLION DE VAINA DE TENDON,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.43,GANGLION SIN ESPECIFICAR,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.49,"OTRO GANGLION Y QUISTE SINOVIA, TENDON Y BOLSA",L87,Bursitis/tendinitis/sinovitis no especificadas,
727.5,ROTURA SINOVIAL,L99,Otras enfermedades del aparato locomotor,
727.50,ROTURA SINOVIAL SIN ESPECIFICAR,L99,Otras enfermedades del aparato locomotor,
727.51,QUISTE SINOVIAL POPLITEO,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.59,ROTURA SINOVIAL  OTROS NO CODIFICADOS,L99,Otras enfermedades del aparato locomotor,
727.6,ROTURA NO TRAUMATICA DE TENDON,L99,Otras enfermedades del aparato locomotor,
727.60,ROTURA NO TRAUMATICA DE TENDON NO ESPECIFICADO,L99,Otras enfermedades del aparato locomotor,
727.61,ROTURA NO TRAUMATICA  TOTAL MANGUITO ROTADORES,L99,Otras enfermedades del aparato locomotor,
727.62,ROTURA NO TRAUMATICA  TENDON BICEPS (PORCION LARGA),L99,Otras enfermedades del aparato locomotor,
727.63,ROTURA NO TRAUMATICA  TENDONES  EXTENSORES DE MANO Y MUÑECA,L99,Otras enfermedades del aparato locomotor,
727.64,ROTURA NO TRAUMATICA  TENDONES FLEXORES DE MANO Y MUÑECA,L99,Otras enfermedades del aparato locomotor,
727.65,ROTURA NO TRAUMATICA  TENDON CUADRICEPS,L99,Otras enfermedades del aparato locomotor,
727.66,ROTURA NO TRAUMATICA  TENDON ROTULIANO,L99,Otras enfermedades del aparato locomotor,
727.67,ROTURA NO TRAUMATICA  TENDON AQUILES,L99,Otras enfermedades del aparato locomotor,
727.68,ROTURA NO TRAUMATICA  OTROS TENDONES PIE  OTROS NO CODIFICADOS,L99,Otras enfermedades del aparato locomotor,
727.69,OTRA RUPTURA NO TRAUMATICA DE TENDON  OTROS NO CODIFICADOS,L99,Otras enfermedades del aparato locomotor,
727.8,"OTROS TRASTORNOS DE SINOVIA,TENDON Y BOLSA",L99,Otras enfermedades del aparato locomotor,
727.81,CONTRACTURA TENDINOSA (VAINA),L87,Bursitis/tendinitis/sinovitis no especificadas,
727.82,DEPOSITOS DE CALCIO EN TENDON Y BOLSA,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.83,SINDROME DE LA PLICA,L87,Bursitis/tendinitis/sinovitis no especificadas,
727.89,"OTRAS ALTERACIONES DE SINOVIA,TENDON Y BOLSA NCOC",L70,Infecciones del aparato locomotor,
727.9,"ALTERACIONES DE SINOVIA, TENDON, BOLSA NO ESPECIFICADO",L99,Otras enfermedades del aparato locomotor,
728,TRASTORNO DE MUSCULO LIGAMENTO Y FASCIA,L99,Otras enfermedades del aparato locomotor,
728.0,MIOSITIS INFECCIOSA,L70,Infecciones del aparato locomotor,
728.1,CALCIFICACION Y OSIFICACION MUSCULAR,L99,Otras enfermedades del aparato locomotor,
728.10,CALCIFICAC MUSCULAR NO ESPECIFICADO,L99,Otras enfermedades del aparato locomotor,
728.11,MIOSITIS OSIFICANTE PROGRESIVO,L99,Otras enfermedades del aparato locomotor,
728.12,MIOSITIS OSIFICANTE TRAUMATICA,L99,Otras enfermedades del aparato locomotor,
728.13,CALCIFICACION HETEROTOPICA POSOPERATORIA,L99,Otras enfermedades del aparato locomotor,
728.19,OTRA CALCIFICACION Y OSIFICACION MUSCULAR,L99,Otras enfermedades del aparato locomotor,
728.2,DEBILITACION Y ATROFIA MUSCULAR POR DESUSO NCOC,L19,Otros signos/síntomas musculares no especificados,
728.3,OTRAS ALTERACIONES MUSCULARES ESPECIFICAS,L99,Otras enfermedades del aparato locomotor,
728.4,LAXITUD LIGAMENTOSA,L99,Otras enfermedades del aparato locomotor,
728.5,SINDROME HIPERMOVILIDAD,L99,Otras enfermedades del aparato locomotor,
728.6,CONTRACTURA DE FASCIA PALMAR,L87,Bursitis/tendinitis/sinovitis no especificadas,
728.7,OTRAS FIBROMATOSIS,L87,Bursitis/tendinitis/sinovitis no especificadas,
728.71,FIBROMATOSIS FASCIAL PLANTAR,L87,Bursitis/tendinitis/sinovitis no especificadas,
728.79,OTRAS FIBROMATOSIS  OTROS NO CODIFICADOS,L87,Bursitis/tendinitis/sinovitis no especificadas,
728.8,OTROS TRASTORNOS DE MUSCULO LIGAMENTOS Y FASCIA,L99,Otras enfermedades del aparato locomotor,
728.81,MIOSITIS INTERSTICIAL,L99,Otras enfermedades del aparato locomotor,
728.82,GRANULOMA DE MUSCULO POR CUERPO EXTRAÑO,L99,Otras enfermedades del aparato locomotor,
728.83,RUPTURA ATRAUMATICA MUSCULAR,L99,Otras enfermedades del aparato locomotor,
728.84,DIASTASIS MUSCULAR,L99,Otras enfermedades del aparato locomotor,
728.85,ESPASMO MUSCULAR,L19,Otros signos/síntomas musculares no especificados,
728.86,FASCITIS NECROTIZANTE,L70,Infecciones del aparato locomotor,
728.87,DEBILIDAD MUSCULAR (GENERALIZADA),L19,Otros signos/síntomas musculares no especificados,
728.88,RABDOMIOLISIS ,L99,Otras enfermedades del aparato locomotor,
728.89,OTROS TRASTORNOS DE MUSCULO LIGAMENTOS  OTROS NO CODIFICADO,L99,Otras enfermedades del aparato locomotor,
728.9,TRASTORNO DE MUSCULO LIGAMENTOS Y FASCIA NO ESPECIFICADO,L99,Otras enfermedades del aparato locomotor,
729,OTROS TRASTORNOS DE TEJIDO BLANDOS,L99,Otras enfermedades del aparato locomotor,
729.0,REUMATISMO NO ESPECIFICADO Y FIBROSITIS,L18,Dolor muscular,
729.1,MIALGIA Y MIOSITIS NO ESPECIFICADO,L18.01,Fibromialgia,
729.2,NEURALGIA/NEURITIS Y RADICULITIS NO ESPECIFICADO,N99,Otras enfermedades neurológicas,Antes mapeado a L99
729.3,PANICULITIS NO ESPECIFICADA,L99,Otras enfermedades del aparato locomotor,
729.30,"PANICULITIS, LUGAR NO ESPECIFICADO",L99,Otras enfermedades del aparato locomotor,
729.31,"HIPERTROFIA TEJIDO GRASO, RODILLA",L99,Otras enfermedades del aparato locomotor,
729.39,OTRO SITIO DE PANICULITIS OTROS NO CODIFICADOS,L99,Otras enfermedades del aparato locomotor,
729.4,FASCITIS NO ESPECIFICADO,L87,Bursitis/tendinitis/sinovitis no especificadas,
729.5,DOLOR EN EXTREMIDADES,L29,Otros signos/síntomas del aparato locomotor,
729.6,CUERPO EXTRAÑO ANTIGUO EN TEJIDO BLANDOS,L81,Otras lesiones del aparato locomotor no especificadas,
729.7,SINDROME COMPARTIMENTAL NO TRAUMATICO,L99,Otras enfermedades del aparato locomotor,
729.71,SINDROME COMPARTIMENTAL NO TRAUMATICO DE EXTREMIDAD SUPERIOR,L99,Otras enfermedades del aparato locomotor,
729.72,SINDROME COMPARTIMENTAL NO TRAUMATICO DE EXTREMIDAD INFERIOR ,L99,Otras enfermedades del aparato locomotor,
729.73,SINDROME COMPARTIMENTAL NO TRAUMATICO DE ABDOMEN ,L99,Otras enfermedades del aparato locomotor,
729.79,SINDROME COMPARTIMENTAL NO TRAUMATICO DE OTROS SITIOS ,L99,Otras enfermedades del aparato locomotor,
729.8,OTROS SINTOMAS MUSCULOESQUELETICOS DE EXTREMIDADES,L19,Otros signos/síntomas musculares no especificados,
729.81,TUMEFACCION EXTREMIDADES,L19,Otros signos/síntomas musculares no especificados,
729.82,CALAMBRE EN EXTREMIDADES,L19,Otros signos/síntomas musculares no especificados,
729.89,OTROS SINTOMAS MUSCULOESQUELETICOS EXTREMIDADES NCOC,L29,Otros signos/síntomas del aparato locomotor,Antes mapeado a L19
729.9,OTROS TRASTORNOS Y TRASTORNOS NO ESPECIFICADOS DE T. BLANDOS,L99,Otras enfermedades del aparato locomotor,
729.90,"TRASTORNOS DE TEJIDOS BLANDOS, NO ESPECIFICADOS",L99,Otras enfermedades del aparato locomotor,
729.91,SEROMA POSTRAUMATICO,L99,Otras enfermedades del aparato locomotor,
729.92,HEMATOMA NO TRAUMATICO DE TEJIDO BLANDO,L99,Otras enfermedades del aparato locomotor,
729.99,OTROS TRASTORNOS DE TEJIDOS BLANDOS,L99,Otras enfermedades del aparato locomotor,
730,"OSTEOMIELITIS,PERIOSTITIS Y OTRAS INF. QUE IMPLICAN HUESOS",L70,Infecciones del aparato locomotor,
730.0,OSTEOMIELITIS AGUDA,L70,Infecciones del aparato locomotor,
730.00,OSTEOMIELITIS AGUDA LOCALIZ. NO ESPECIFICADA,L70,Infecciones del aparato locomotor,
730.01,OSTEOMIELITIS AGUDA HOMBRO,L70,Infecciones del aparato locomotor,
730.02,OSTEOMIELITIS AGUDA BRAZO,L70,Infecciones del aparato locomotor,
730.03,OSTEOMIELITIS AGUDA ANTEBRAZO,L70,Infecciones del aparato locomotor,
730.04,OSTEOMIELITIS AGUDA MANO,L70,Infecciones del aparato locomotor,
730.05,OSTEOMIELITIS AGUDA PELVIS Y MUSLO,L70,Infecciones del aparato locomotor,
730.06,OSTEOMIELITIS AGUDA PIERNA,L70,Infecciones del aparato locomotor,
730.07,OSTEOMIELITIS AGUDA TOBILLO Y PIE,L70,Infecciones del aparato locomotor,
730.08,OSTEOMIELITIS AGUDA OTRAS LOCALIZ. ESPECIFICADAS,L70,Infecciones del aparato locomotor,
730.09,OSTEOMIELITIS AGUDA LOCALIZ. MULTIPLE,L70,Infecciones del aparato locomotor,
730.1,OSTEOMIELITIS CRONICA,L70,Infecciones del aparato locomotor,
730.10,OSTEOMIELITIS CRONICA LOCALIZ. NO ESPECIFICADA,L70,Infecciones del aparato locomotor,
730.11,OSTEOMIELITIS CRONICA HOMBRO,L70,Infecciones del aparato locomotor,
730.12,OSTEOMIELITIS CRONICA BRAZO,L70,Infecciones del aparato locomotor,
730.13,OSTEOMIELITIS CRONICA ANTEBRAZO,L70,Infecciones del aparato locomotor,
730.14,OSTEOMIELITIS CRONICA MANO,L70,Infecciones del aparato locomotor,
730.15,OSTEOMIELITIS CRONICA PELVIS Y MUSLO,L70,Infecciones del aparato locomotor,
730.16,OSTEOMIELITIS CRONICA PIERNA,L70,Infecciones del aparato locomotor,
730.17,OSTEOMIELITIS CRONICA TOBILLO Y PIE,L70,Infecciones del aparato locomotor,
730.18,OSTEOMIELITIS CRONICA OTRAS LOCALIZ. ESPECIFICADAS,L70,Infecciones del aparato locomotor,
730.19,OSTEOMIELITIS CRONICA LOCALIZACION MULTIPLE,L70,Infecciones del aparato locomotor,
730.2,OSTEOMIELITIS NO ESPECIFICADA,L70,Infecciones del aparato locomotor,
730.20,OSTEOMIELITIS NO ESPECIFICADA LOCALIZ. NO ESPECIFICADA,L70,Infecciones del aparato locomotor,
730.21,OSTEOMIELITIS NO ESPECIFICADA HOMBRO,L70,Infecciones del aparato locomotor,
730.22,OSTEOMIELITIS NO ESPECIFICADA BRAZO,L70,Infecciones del aparato locomotor,
730.23,OSTEOMIELITIS NO ESPECIFICADA ANTEBRAZO,L70,Infecciones del aparato locomotor,
730.24,OSTEOMIELITIS NO ESPECIFICADA MANO,L70,Infecciones del aparato locomotor,
730.25,OSTEOMIELITIS NO ESPECIFICADA PELVIS Y MUSLO,L70,Infecciones del aparato locomotor,
730.26,OSTEOMIELITIS NO ESPECIFICADA PIERNA,L70,Infecciones del aparato locomotor,
730.27,OSTEOMIELITIS NO ESPECIFICADA TOBILLO Y PIE,L70,Infecciones del aparato locomotor,
730.28,OSTEOMIELITIS NO ESPECIFICADA OTRAS LOCALIZ. ESPECIFICDAS,L70,Infecciones del aparato locomotor,
730.29,OSTEOMIELITIS NO ESPECIFICADA LOCALIZ. MULTIPLE,L70,Infecciones del aparato locomotor,
730.3,PERIOSTITIS SIN MENCION DE OSTEOMILITIS,L70,Infecciones del aparato locomotor,
730.30,PERIOSTITIS SIN MENCION DE OSTEOMIELITIS LOCALIZ. NO ESPECIF,L70,Infecciones del aparato locomotor,
730.31,PERIOSTITIS SIN MENCION DE OSTEOMIELITIS HOMBRO,L70,Infecciones del aparato locomotor,
730.32,PERIOSTITIS SIN MENCION DE OSTEOMIELITIS BRAZO,L70,Infecciones del aparato locomotor,
730.33,PERIOSTITIS SIN MENCION DE OSTEOMIELITIS ANTEBRAZO,L70,Infecciones del aparato locomotor,
730.34,PERIOSTITIS SIN MENCION DE OSTEOMIELITIS MANO,L70,Infecciones del aparato locomotor,
730.35,PERIOSTITIS SIN MENCION DE OSTEOMIELITIS PELVIS Y MUSLO,L70,Infecciones del aparato locomotor,
730.36,PERIOSTITIS SIN MENCION DE OSTEOMIELITIS PIERNA,L70,Infecciones del aparato locomotor,
730.37,PERIOSTITIS SIN MENCION DE OSTEOMIELITIS TOBILLO Y PIE,L70,Infecciones del aparato locomotor,
730.38,PERIOSTITIS SIN MENCION DE OSTEOMIELITIS OTROS LOCA. ESPECIF,L70,Infecciones del aparato locomotor,
730.39,PERIOSTITIS SIN MENCION DE OSTEOMIELITIS LOCALIZ.MULTIPLE,L70,Infecciones del aparato locomotor,
730.7,OSTEOPATIA RESULTADO DE POLIOMIELITIS,L70,Infecciones del aparato locomotor,
730.70,OSTEOPATIA RESULTADO DE POLIOMIELITIS LOCALIZ. NO ESPECIFICA,L70,Infecciones del aparato locomotor,
730.71,OSTEOPATIA RESULTADO DE POLIOMIELITIS HOMBRO,L70,Infecciones del aparato locomotor,
730.72,OSTEOPATIA RESULTADO DE POLIOMIELITIS BRAZO,L70,Infecciones del aparato locomotor,
730.73,OSTEOPATIA RESULTADO DE POLIOMIELITIS ANTEBRAZO,L70,Infecciones del aparato locomotor,
730.74,OSTEOPATIA RESULTADO DE POLIOMIELITIS MANO,L70,Infecciones del aparato locomotor,
730.75,OSTEOPATIA RESULTADO DE POLIOMIELITIS PELVIS Y MUSLO,L70,Infecciones del aparato locomotor,
730.76,OSTEOPATIA RESULTADO DE POLIOMIELITIS PIERNA,L70,Infecciones del aparato locomotor,
730.77,OSTEOPATIA RESULTADO DE POLIOMIELITIS TOBILLO Y PIE,L70,Infecciones del aparato locomotor,
730.78,OSTEOPATIA RESULTADO DE POLIOMIELITIS OTRAS LOCA.ESPECIFICA.,L70,Infecciones del aparato locomotor,
730.79,OSTEOPATIA RESULTADO DE POLIOMIELITIS LOCALIZ.MULTIPLE,L70,Infecciones del aparato locomotor,
730.8,OTRAS INFECCIONES OSEA EN ENF. CLASIF. BAJO OTRO CONCEPTO,L70,Infecciones del aparato locomotor,
